Gene,Rank
RPLP0P3,3.75910998695792e-07
APOOP4,3.758395981449419e-07
SPRR2A,3.7577004188483446e-07
GAPDHP29,3.757636924574422e-07
RNU12-2P,3.757389528684804e-07
AC099518.2,3.757357229378064e-07
RN7SKP22,3.7573379008708613e-07
AC091973.1,3.757291744456152e-07
GPRIN2,3.75371854440536e-07
LINC02865,3.752907007417134e-07
SERTAD4,3.7519609324282554e-07
MIR6745,3.7493049944483025e-07
AP002856.3,3.7491451618114333e-07
MIR378G,3.7491161567891226e-07
CALHM3,3.746914923871636e-07
RNU6-91P,3.746559898608597e-07
AC009117.2,3.742945750158598e-07
AC004241.4,3.735592508576736e-07
VENTXP7,3.7353356684695793e-07
RASSF10,3.7341171396523997e-07
COX6CP14,3.733283150642808e-07
LINC02876,3.7332699022443806e-07
HSPE1P6,3.7315949066534395e-07
LINC00113,3.730538026251039e-07
MRPL57P8,3.7298931750315125e-07
RPL32P26,3.7298699761253354e-07
HMGN1P37,3.729679936165751e-07
EEF1E1P1,3.729103431126734e-07
GLRX5P2,3.7281042308447286e-07
AL109914.1,3.7244932862835136e-07
RNU7-140P,3.7224373585418805e-07
EIF3LP1,3.721718990609774e-07
AL445288.1,3.7203814035706453e-07
SPRR2G,3.719674159702149e-07
RNU4-60P,3.71633430285027e-07
AC107464.2,3.715941122887999e-07
LINC01756,3.714921420564777e-07
COP1P1,3.714667181209803e-07
AC005993.1,3.709983642722788e-07
SLC25A47,3.709811793159944e-07
COMETT,3.709487618230759e-07
AC078880.3,3.7081665685200733e-07
AL359881.1,3.7074018527966945e-07
TRBJ1-2,3.7056815219414285e-07
RNU6-903P,3.703753850002382e-07
RNU6-1245P,3.7020968332421615e-07
ADRB1,3.699465456555454e-07
HNRNPA1P9,3.699047210199542e-07
FDPSP4,3.697472387115597e-07
Z99916.1,3.6973970818201163e-07
FAM88E,3.697256059585264e-07
AL590560.5,3.695751466319053e-07
AC009411.2,3.6916771833329396e-07
AC104458.1,3.691405884177399e-07
AC007952.9,3.689465358937035e-07
AL008718.2,3.688277777109824e-07
PCNPP2,3.686352781842558e-07
MTND1P3,3.6863296835005315e-07
OR7A17,3.68623092600401e-07
AQP7P1,3.686018576170299e-07
AC008808.2,3.685667293486344e-07
MTND2P17,3.685632767479534e-07
PPP1R35-AS1,3.685039317264485e-07
